step,sense_time,move_time,deposit_time,diffusion_time
0,0.00030994415283203125,1.4781951904296875e-05,8.821487426757812e-06,0.007791042327880859
1,7.891654968261719e-05,2.1457672119140625e-06,4.0531158447265625e-06,0.0026018619537353516
2,6.103515625e-05,9.5367431640625e-07,2.86102294921875e-06,0.0024209022521972656
3,7.605552673339844e-05,9.5367431640625e-07,3.0994415283203125e-06,0.002383708953857422
4,5.984306335449219e-05,7.152557373046875e-07,2.1457672119140625e-06,0.0025758743286132812
5,5.817413330078125e-05,9.5367431640625e-07,3.0994415283203125e-06,0.0018508434295654297
6,4.601478576660156e-05,0.0,1.6689300537109375e-06,0.00168609619140625
7,5.507469177246094e-05,0.0,1.9073486328125e-06,0.001580953598022461
8,5.793571472167969e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0017731189727783203
9,5.888938903808594e-05,7.152557373046875e-07,2.86102294921875e-06,0.0017547607421875
10,5.221366882324219e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0016260147094726562
11,4.482269287109375e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.001645803451538086
12,4.506111145019531e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0016338825225830078
13,4.9114227294921875e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0017638206481933594
14,4.1961669921875e-05,9.5367431640625e-07,1.9073486328125e-06,0.0017049312591552734
15,3.790855407714844e-05,0.0,9.5367431640625e-07,0.0016672611236572266
16,4.1961669921875e-05,1.1920928955078125e-06,1.9073486328125e-06,0.0017020702362060547
17,5.3882598876953125e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0018477439880371094
18,4.410743713378906e-05,9.5367431640625e-07,9.5367431640625e-07,0.001641988754272461
19,5.0067901611328125e-05,0.0,1.9073486328125e-06,0.0015070438385009766
20,4.1961669921875e-05,0.0,1.9073486328125e-06,0.0015571117401123047
21,3.981590270996094e-05,0.0,1.9073486328125e-06,0.0013737678527832031
22,3.3855438232421875e-05,7.152557373046875e-07,2.1457672119140625e-06,0.001413106918334961
23,3.981590270996094e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.001378774642944336
24,3.5762786865234375e-05,0.0,2.1457672119140625e-06,0.0015070438385009766
25,3.409385681152344e-05,0.0,1.9073486328125e-06,0.0014719963073730469
26,3.814697265625e-05,9.5367431640625e-07,7.152557373046875e-07,0.0013761520385742188
27,3.1948089599609375e-05,0.0,9.5367431640625e-07,0.0013451576232910156
28,3.719329833984375e-05,7.152557373046875e-07,1.9073486328125e-06,0.0013608932495117188
29,3.790855407714844e-05,0.0,2.1457672119140625e-06,0.001374959945678711
30,3.600120544433594e-05,1.1920928955078125e-06,7.152557373046875e-07,0.001355886459350586
31,4.1961669921875e-05,0.0,9.5367431640625e-07,0.0015370845794677734
32,4.100799560546875e-05,1.1920928955078125e-06,1.9073486328125e-06,0.0014777183532714844
33,4.1961669921875e-05,7.152557373046875e-07,1.9073486328125e-06,0.0014047622680664062
34,5.1021575927734375e-05,1.1920928955078125e-06,1.1920928955078125e-06,0.0014867782592773438
35,3.790855407714844e-05,1.1920928955078125e-06,1.1920928955078125e-06,0.0013649463653564453
36,3.409385681152344e-05,0.0,9.5367431640625e-07,0.0015430450439453125
37,3.790855407714844e-05,0.0,2.1457672119140625e-06,0.0018918514251708984
38,3.790855407714844e-05,9.5367431640625e-07,1.1920928955078125e-06,0.0015418529510498047
39,3.886222839355469e-05,9.5367431640625e-07,1.9073486328125e-06,0.001508951187133789
40,3.600120544433594e-05,0.0,9.5367431640625e-07,0.0015437602996826172
41,4.315376281738281e-05,7.152557373046875e-07,2.1457672119140625e-06,0.0017080307006835938
42,3.790855407714844e-05,0.0,1.1920928955078125e-06,0.0014040470123291016
43,3.5762786865234375e-05,9.5367431640625e-07,9.5367431640625e-07,0.001547098159790039
44,3.7670135498046875e-05,0.0,2.1457672119140625e-06,0.0013010501861572266
45,3.790855407714844e-05,0.0,1.1920928955078125e-06,0.0015687942504882812
46,3.790855407714844e-05,0.0,1.9073486328125e-06,0.001348257064819336
47,3.409385681152344e-05,0.0,9.5367431640625e-07,0.001592874526977539
48,3.719329833984375e-05,0.0,2.1457672119140625e-06,0.0015649795532226562
49,3.814697265625e-05,9.5367431640625e-07,1.9073486328125e-06,0.001399993896484375
50,4.410743713378906e-05,0.0,9.5367431640625e-07,0.001583099365234375
51,3.504753112792969e-05,0.0,1.1920928955078125e-06,0.0015239715576171875
52,3.790855407714844e-05,1.1920928955078125e-06,1.1920928955078125e-06,0.0013549327850341797
53,3.1948089599609375e-05,9.5367431640625e-07,7.152557373046875e-07,0.0014672279357910156
54,3.314018249511719e-05,9.5367431640625e-07,9.5367431640625e-07,0.0013971328735351562
55,3.504753112792969e-05,0.0,2.1457672119140625e-06,0.0014500617980957031
56,3.790855407714844e-05,0.0,1.1920928955078125e-06,0.0015721321105957031
57,4.076957702636719e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.001506805419921875
58,3.790855407714844e-05,0.0,9.5367431640625e-07,0.0014009475708007812
59,3.695487976074219e-05,0.0,2.1457672119140625e-06,0.0014710426330566406
60,4.410743713378906e-05,9.5367431640625e-07,2.1457672119140625e-06,0.001466989517211914
61,4.00543212890625e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0014500617980957031
62,3.5762786865234375e-05,1.1920928955078125e-06,9.5367431640625e-07,0.0014638900756835938
63,3.504753112792969e-05,0.0,1.9073486328125e-06,0.001432180404663086
64,3.910064697265625e-05,0.0,9.5367431640625e-07,0.0015909671783447266
65,4.267692565917969e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0014657974243164062
66,3.981590270996094e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0015418529510498047
67,4.1961669921875e-05,0.0,2.1457672119140625e-06,0.0016200542449951172
68,4.00543212890625e-05,0.0,1.1920928955078125e-06,0.001589059829711914
69,3.6716461181640625e-05,9.5367431640625e-07,9.5367431640625e-07,0.0017018318176269531
70,3.981590270996094e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0015358924865722656
71,3.790855407714844e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0016040802001953125
72,3.790855407714844e-05,0.0,2.1457672119140625e-06,0.0014750957489013672
73,4.410743713378906e-05,1.1920928955078125e-06,9.5367431640625e-07,0.0016219615936279297
74,4.100799560546875e-05,0.0,9.5367431640625e-07,0.0015807151794433594
75,3.790855407714844e-05,9.5367431640625e-07,9.5367431640625e-07,0.0015687942504882812
76,3.719329833984375e-05,1.1920928955078125e-06,1.9073486328125e-06,0.001889944076538086
77,3.266334533691406e-05,0.0,1.1920928955078125e-06,0.0011739730834960938
78,3.5762786865234375e-05,9.5367431640625e-07,1.1920928955078125e-06,0.0014030933380126953
